Lang, sents, tokNum, mweNum, mwtNum, irefNum, lvcNum, idNum, vpcNum, sents, tokNum, mweNum, mwtNum, irefNum, lvcNum, idNum, vpcNum, sents, tokNum, mweNum, mwtNum, irefNum, lvcNum, idNum, vpcNum,
BG,17813,399173,5364,10,2729,1556,1005,74,1954,42020,670,1,240,249,173,8,1832,39220,670,0,254,326,82,8
DE,6734,130213,2820,888,220,246,977,1377,1184,22092,503,146,48,36,181,238,1078,20524,500,149,40,44,183,233
EL,4427,122458,1404,1,0,990,395,19,2562,64776,500,0,0,411,81,8,1261,35860,501,0,0,321,169,11
EN,3471,53200,331,1,0,85,60,186,0,0,0,0,0,0,0,0,3965,70998,501,3,0,206,79,216
ES,2771,96521,1739,2,479,733,167,360,698,26220,500,0,114,234,65,87,2046,58861,500,0,121,219,95,65
EU,8254,117165,2823,0,0,2226,597,0,1500,21604,500,0,0,396,104,0,1404,19038,500,0,0,427,73,0
FA,2784,45153,2451,1,1,2433,17,0,474,8923,501,0,0,501,0,0,359,7492,501,0,0,501,0,0
FR,17225,420762,4550,3,1247,1557,1746,0,2236,54685,629,2,154,268,207,0,1606,38402,498,0,108,178,212,0
HE,12106,237472,1236,0,0,658,519,59,3385,65843,501,0,0,209,258,34,3209,65698,502,0,0,260,182,60
HI,856,17850,534,0,0,511,23,0,0,0,0,0,0,0,0,0,828,17580,500,0,0,462,38,0
HR,2295,53486,1450,0,468,348,113,521,834,19621,500,0,139,169,34,158,708,16429,501,0,118,162,33,188
HU,4803,120013,6205,4614,0,1255,84,4866,601,15564,779,608,0,95,10,674,755,20759,776,523,0,194,10,572
IT,13555,342279,3254,6,962,714,1098,480,917,31220,500,3,115,125,197,63,1256,35558,503,0,104,134,201,64
LT,4895,90110,312,0,0,206,106,0,0,0,0,0,0,0,0,0,6209,118402,500,0,0,298,202,0
PL,13058,220352,4122,0,1785,1711,373,253,1763,26014,515,0,245,186,57,27,1300,27661,515,0,249,164,73,29
PT,22017,473446,4430,1,689,2859,882,0,3117,64078,553,0,83,340,130,0,2770,58604,553,0,91,344,118,0
RO,42704,781968,4713,1,3048,396,1269,0,7065,118658,589,0,373,47,169,0,6934,114997,589,0,363,53,173,0
SL,9567,201853,2378,2,1162,216,500,500,1950,38146,500,1,224,42,121,113,1994,40523,500,1,245,48,106,101
TR,16715,334880,6125,3,0,2953,3172,0,1320,27196,510,0,0,225,285,0,589,14388,506,4,0,273,233,0
